"Jan 1, year",AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,"DC
"
1986,"3,991,569","544,268","3,308,262","2,331,984","27,102,237","3,237,450","3,223,740","627,559","11,667,505","6,084,666","1,051,762","990,224","11,387,257","5,454,108","2,791,970","2,432,619","3,687,809","4,406,919","1,170,126","4,486,957","5,902,678","9,127,775","4,205,212","2,593,597","5,023,068","813,739","1,574,333","980,613","1,025,053","7,622,159","1,462,729","17,833,419","6,321,578","669,512","10,730,268","3,252,735","2,683,528","11,782,752","977,341","3,342,758","696,034","4,738,708","16,561,113","1,662,834","534,066","5,811,700","4,452,720","1,882,350","4,755,618","495,633","638,269
"
1987,"4,015,264","539,309","3,437,103","2,342,355","27,777,158","3,260,480","3,247,291","636,947","11,997,283","6,208,467","1,067,918","984,997","11,391,178","5,473,012","2,767,011","2,445,367","3,683,329","4,344,148","1,184,574","4,565,557","5,935,204","9,187,481","4,235,136","2,588,545","5,056,696","805,063","1,566,547","1,023,376","1,054,289","7,670,742","1,478,520","17,868,848","6,403,700","661,136","10,760,090","3,210,122","2,700,991","11,810,866","989,604","3,380,506","696,036","4,782,927","16,621,791","1,678,119","540,267","5,932,268","4,531,901","1,857,585","4,777,919","476,965","636,930
"
1988,"4,023,844","541,983","3,535,183","2,342,656","28,464,249","3,262,281","3,271,953","647,622","12,306,395","6,316,142","1,079,828","985,664","11,390,183","5,491,735","2,768,388","2,461,996","3,679,999","4,288,863","1,203,840","4,657,904","5,979,982","9,217,998","4,296,166","2,580,352","5,081,736","800,202","1,571,477","1,075,022","1,082,577","7,712,333","1,490,337","17,941,309","6,480,594","655,331","10,798,552","3,167,057","2,741,297","11,845,752","996,408","3,412,096","698,165","4,822,437","16,667,022","1,689,372","549,763","6,036,909","4,639,893","1,830,215","4,822,388","465,101","630,432
"
1989,"4,030,222","547,159","3,622,185","2,346,358","29,218,164","3,275,818","3,283,403","658,273","12,637,715","6,411,099","1,094,588","994,416","11,409,782","5,523,693","2,770,592","2,472,849","3,677,306","4,252,894","1,219,961","4,727,301","6,015,478","9,253,295","4,338,057","2,574,269","5,095,830","799,636","1,574,864","1,137,382","1,104,522","7,726,089","1,503,901","17,983,086","6,565,459","646,351","10,829,217","3,150,307","2,790,575","11,865,996","1,000,666","3,456,775","696,701","4,854,444","16,806,735","1,705,864","557,707","6,120,246","4,746,316","1,806,568","4,856,574","458,374","624,168
"
1990,"4,048,508","553,120","3,679,056","2,354,343","29,950,111","3,303,862","3,289,056","669,063","13,018,365","6,506,531","1,112,703","1,011,882","11,446,979","5,555,097","2,779,769","2,480,683","3,692,584","4,219,179","1,231,296","4,797,431","6,018,664","9,310,462","4,387,283","2,577,426","5,126,370","799,824","1,580,664","1,218,629","1,111,831","7,757,158","1,519,933","18,002,855","6,656,987","637,364","10,861,837","3,147,105","2,858,547","11,895,604","1,004,649","3,499,064","696,667","4,890,626","17,044,714","1,729,722","564,526","6,213,526","4,900,780","1,792,481","4,902,265","453,401","603,814
"
1991,"4,091,025","569,273","3,762,394","2,370,666","30,414,114","3,367,567","3,288,640","680,495","13,289,497","6,621,279","1,131,412","1,038,915","11,535,973","5,602,062","2,791,227","2,495,209","3,714,686","4,240,950","1,235,439","4,856,176","5,998,652","9,395,022","4,427,429","2,591,230","5,157,770","807,837","1,590,805","1,285,046","1,107,055","7,784,269","1,547,115","18,029,532","6,748,135","634,199","10,933,683","3,166,471","2,918,745","11,943,160","1,003,990","3,559,470","701,445","4,946,886","17,339,904","1,771,941","567,141","6,283,853","5,013,443","1,798,212","4,952,675","457,739","593,239
"
1992,"4,139,269","587,073","3,867,333","2,394,098","30,875,920","3,459,995","3,274,997","690,158","13,504,775","6,759,474","1,149,926","1,066,490","11,635,197","5,648,649","2,806,923","2,526,042","3,756,358","4,270,849","1,235,748","4,902,545","5,993,474","9,470,323","4,471,503","2,610,193","5,193,686","822,436","1,602,406","1,330,694","1,112,766","7,827,770","1,580,750","18,082,032","6,831,850","635,427","11,007,609","3,204,174","2,973,934","11,980,819","1,000,571","3,600,576","708,698","5,013,999","17,650,479","1,821,498","570,115","6,383,315","5,139,011","1,805,462","5,004,636","463,491","584,183
"
1993,"4,193,114","596,993","3,993,390","2,423,743","31,147,208","3,560,884","3,272,325","699,475","13,713,593","6,894,092","1,161,508","1,101,204","11,725,984","5,701,965","2,820,525","2,547,605","3,792,288","4,284,749","1,238,256","4,942,504","6,010,884","9,529,240","4,521,709","2,635,574","5,237,757","839,876","1,612,149","1,380,197","1,122,191","7,874,891","1,614,937","18,140,894","6,947,412","637,229","11,070,385","3,228,829","3,034,490","12,022,128","997,852","3,634,507","716,258","5,085,666","17,996,764","1,875,993","574,004","6,464,795","5,247,704","1,816,179","5,055,318","469,033","576,358
"
1994,"4,232,965","600,624","4,147,561","2,450,605","31,317,179","3,653,910","3,268,346","708,416","13,961,798","7,045,900","1,173,903","1,135,459","11,804,986","5,745,626","2,829,422","2,569,118","3,823,215","4,306,500","1,237,687","4,985,411","6,031,352","9,584,481","4,566,028","2,663,450","5,281,206","854,923","1,621,551","1,456,388","1,133,054","7,918,796","1,653,329","18,156,652","7,060,959","639,762","11,111,451","3,246,119","3,087,142","12,042,545","993,412","3,666,456","723,038","5,163,016","18,338,319","1,930,436","578,900","6,536,771","5,334,896","1,818,490","5,095,504","474,982","564,982
"
1995,"4,262,731","601,345","4,306,908","2,480,121","31,493,525","3,738,061","3,265,293","718,265","14,185,403","7,188,538","1,180,490","1,165,000","11,884,935","5,791,819","2,840,860","2,586,942","3,855,248","4,327,978","1,237,438","5,023,650","6,062,335","9,659,871","4,605,445","2,690,788","5,324,610","868,522","1,635,142","1,525,777","1,145,604","7,965,523","1,682,417","18,150,928","7,185,403","641,548","11,155,493","3,265,547","3,141,421","12,044,780","989,203","3,699,943","728,251","5,241,168","18,679,706","1,976,774","582,827","6,601,392","5,431,024","1,820,560","5,137,004","478,447","551,273
"
1996,"4,290,403","604,918","4,432,308","2,504,858","31,780,829","3,812,716","3,267,030","727,090","14,426,911","7,332,225","1,184,434","1,187,706","11,953,003","5,834,908","2,848,473","2,598,266","3,881,051","4,338,763","1,241,436","5,057,142","6,085,393","9,739,184","4,647,723","2,709,925","5,367,888","876,656","1,647,657","1,596,476","1,160,768","8,009,624","1,706,151","18,143,805","7,307,658","642,858","11,187,032","3,289,634","3,195,087","12,038,008","987,858","3,738,974","730,699","5,313,576","19,006,240","2,022,253","586,352","6,665,491","5,509,963","1,818,983","5,173,828","480,085","538,273
"
1997,"4,320,281","608,846","4,552,207","2,524,007","32,217,708","3,891,293","3,268,514","735,024","14,683,350","7,486,094","1,189,322","1,210,638","12,011,509","5,872,370","2,854,396","2,616,339","3,907,816","4,351,390","1,245,215","5,092,914","6,115,476","9,785,450","4,687,726","2,731,826","5,407,113","878,706","1,656,042","1,675,581","1,173,239","8,054,178","1,722,939","18,143,184","7,428,672","640,945","11,212,498","3,314,259","3,243,254","12,015,888","986,966","3,790,066","730,855","5,378,433","19,355,427","2,065,397","588,665","6,732,878","5,604,105","1,815,588","5,200,235","480,031","528,752
"
1998,"4,351,037","615,205","4,667,277","2,538,202","32,682,794","3,968,967","3,272,563","744,066","14,908,230","7,636,522","1,190,472","1,230,923","12,069,774","5,907,617","2,861,025","2,638,667","3,934,310","4,362,758","1,247,554","5,130,072","6,144,407","9,820,231","4,726,411","2,751,335","5,437,562","879,533","1,660,772","1,743,772","1,185,823","8,095,542","1,733,535","18,159,175","7,545,828","637,808","11,237,752","3,339,478","3,282,055","12,002,329","987,704","3,839,578","730,789","5,432,679","19,712,389","2,100,562","590,579","6,789,225","5,687,832","1,811,688","5,222,124","480,045","521,426
"
1999,"4,369,862","619,500","4,778,332","2,551,373","33,145,121","4,056,133","3,282,031","753,538","15,111,244","7,788,240","1,185,497","1,251,700","12,128,370","5,942,901","2,869,413","2,654,052","3,960,825","4,372,035","1,253,040","5,171,634","6,175,169","9,863,775","4,775,508","2,768,619","5,468,338","882,779","1,666,028","1,809,253","1,201,134","8,143,412","1,739,844","18,196,601","7,650,789","633,666","11,256,654","3,358,044","3,316,154","11,994,016","990,819","3,885,736","733,133","5,483,535","20,044,141","2,129,836","593,740","6,872,912","5,756,361","1,806,928","5,250,446","479,602","519,000
"
2000,"4,452,173","627,963","5,160,586","2,678,588","33,987,977","4,326,921","3,411,777","786,373","16,047,515","8,227,303","1,213,519","1,299,430","12,434,161","6,091,866","2,929,067","2,693,681","4,049,021","4,471,885","1,277,072","5,311,034","6,361,104","9,952,450","4,933,692","2,848,353","5,607,285","903,773","1,713,820","2,018,741","1,239,882","8,430,621","1,821,204","19,001,780","8,081,614","642,023","11,363,543","3,454,365","3,429,708","12,284,173","1,050,268","4,024,223","755,844","5,703,719","20,944,499","2,244,502","609,618","7,105,817","5,910,512","1,807,021","5,373,999","494,300","572,046
"
2001,"4,467,634","633,714","5,273,477","2,691,571","34,479,458","4,425,687","3,432,835","795,699","16,356,966","8,377,038","1,225,948","1,319,962","12,488,445","6,127,760","2,931,997","2,702,162","4,068,132","4,477,875","1,285,692","5,374,691","6,397,634","9,991,120","4,982,796","2,852,994","5,641,142","906,961","1,719,836","2,098,399","1,255,517","8,492,671","1,831,690","19,082,838","8,210,122","639,062","11,387,404","3,467,100","3,467,937","12,298,970","1,057,142","4,064,995","757,972","5,750,789","21,319,622","2,283,715","612,223","7,198,362","5,985,722","1,801,481","5,406,835","494,657","574,504
"
2002,"4,480,089","642,337","5,396,255","2,705,927","34,871,843","4,490,406","3,458,749","806,169","16,689,370","8,508,256","1,239,613","1,340,372","12,525,556","6,155,967","2,934,234","2,713,535","4,089,875","4,497,267","1,295,960","5,440,389","6,417,206","10,015,710","5,018,935","2,858,681","5,674,825","911,667","1,728,292","2,173,791","1,269,089","8,552,643","1,855,309","19,137,800","8,326,201","638,168","11,407,889","3,489,080","3,513,424","12,331,031","1,065,995","4,107,795","760,020","5,795,918","21,690,325","2,324,815","615,442","7,286,873","6,052,349","1,805,414","5,445,162","500,017","573,158
"
2003,"4,503,491","648,414","5,510,364","2,724,816","35,253,159","4,528,732","3,484,336","818,003","17,004,085","8,622,793","1,251,154","1,363,380","12,556,006","6,196,638","2,941,999","2,723,004","4,117,170","4,521,042","1,306,513","5,496,269","6,422,565","10,041,152","5,053,572","2,868,312","5,709,403","919,630","1,738,643","2,248,850","1,279,840","8,601,402","1,877,574","19,175,939","8,422,501","638,817","11,434,788","3,504,892","3,547,376","12,374,658","1,071,342","4,150,297","763,729","5,847,812","22,030,931","2,360,137","617,858","7,366,977","6,104,115","1,812,295","5,479,203","503,453","568,502
"
2004,"4,530,729","659,286","5,652,404","2,749,686","35,574,576","4,575,013","3,496,094","830,803","17,415,318","8,769,252","1,273,569","1,391,802","12,589,773","6,233,007","2,953,635","2,734,373","4,146,101","4,552,238","1,313,688","5,546,935","6,412,281","10,055,315","5,087,713","2,889,010","5,747,741","930,009","1,749,370","2,346,222","1,290,121","8,634,561","1,903,808","19,171,567","8,553,152","644,705","11,452,251","3,525,233","3,569,463","12,410,722","1,074,579","4,210,921","770,396","5,910,809","22,394,023","2,401,580","619,920","7,475,575","6,178,645","1,816,438","5,514,026","509,106","567,754
"
2005,"4,569,805","666,946","5,839,077","2,781,097","35,827,943","4,631,888","3,506,956","845,150","17,842,038","8,925,922","1,292,729","1,428,241","12,609,903","6,278,616","2,964,454","2,745,299","4,182,742","4,576,628","1,318,787","5,592,379","6,403,290","10,051,137","5,119,598","2,905,943","5,790,300","940,102","1,761,497","2,432,143","1,298,492","8,651,974","1,932,274","19,132,610","8,705,407","646,089","11,463,320","3,548,597","3,613,202","12,449,990","1,067,916","4,270,150","775,493","5,991,057","22,778,123","2,457,719","621,215","7,577,105","6,257,305","1,820,492","5,546,166","514,157","567,136
"
2006,"4,628,981","675,302","6,029,141","2,821,761","36,021,202","4,720,423","3,517,460","859,268","18,166,990","9,155,813","1,309,731","1,468,669","12,643,955","6,332,669","2,982,644","2,762,931","4,219,239","4,302,665","1,323,619","5,627,367","6,410,084","10,036,081","5,163,555","2,904,978","5,842,704","952,692","1,772,693","2,522,658","1,308,389","8,661,679","1,962,137","19,104,631","8,917,270","649,422","11,481,213","3,594,090","3,670,883","12,510,809","1,063,096","4,357,847","783,033","6,088,766","23,359,580","2,525,507","622,892","7,673,725","6,370,753","1,827,912","5,577,655","522,667","570,681
"
2007,"4,672,840","680,300","6,167,681","2,848,650","36,250,311","4,803,868","3,527,270","871,749","18,367,842","9,349,988","1,315,675","1,505,105","12,695,866","6,379,599","2,999,212","2,783,785","4,256,672","4,375,581","1,327,040","5,653,408","6,431,559","10,001,284","5,207,203","2,928,350","5,887,612","964,706","1,783,440","2,601,072","1,312,540","8,677,885","1,990,070","19,132,335","9,118,037","652,822","11,500,468","3,634,349","3,722,417","12,563,937","1,057,315","4,444,110","791,623","6,175,727","23,831,983","2,597,746","623,481","7,751,000","6,461,587","1,834,052","5,610,775","534,876","574,404
"
2008,"4,718,206","687,455","6,280,362","2,874,554","36,604,337","4,889,730","3,545,579","883,874","18,527,305","9,504,843","1,332,213","1,534,320","12,747,038","6,424,806","3,016,734","2,808,076","4,289,878","4,435,586","1,330,509","5,684,965","6,468,967","9,946,889","5,247,018","2,947,806","5,923,916","976,415","1,796,378","2,653,630","1,315,906","8,711,090","2,010,662","19,212,436","9,309,449","657,569","11,515,391","3,668,976","3,768,748","12,612,285","1,055,003","4,528,996","799,124","6,247,411","24,309,039","2,663,029","624,151","7,833,496","6,562,231","1,840,310","5,640,996","546,043","580,236
"
2009,"4,757,938","698,895","6,343,154","2,896,843","36,961,229","4,972,195","3,561,807","891,730","18,652,644","9,620,846","1,346,717","1,554,439","12,796,778","6,459,325","3,032,870","2,832,704","4,317,074","4,491,648","1,329,590","5,730,388","6,517,613","9,901,591","5,281,203","2,958,774","5,961,088","983,982","1,812,683","2,684,665","1,316,102","8,755,602","2,036,802","19,307,066","9,449,566","664,968","11,528,896","3,717,572","3,808,600","12,666,858","1,053,646","4,589,872","807,067","6,306,019","24,801,761","2,723,421","624,817","7,925,937","6,667,426","1,847,775","5,669,264","559,851","592,228
"
2010,"4,785,822","713,856","6,411,999","2,922,297","37,336,011","5,048,575","3,579,345","899,731","18,852,220","9,714,464","1,363,950","1,570,639","12,840,097","6,490,308","3,050,295","2,858,949","4,349,838","4,545,581","1,327,361","5,788,101","6,564,073","9,876,498","5,310,418","2,970,811","5,996,085","990,575","1,829,865","2,703,493","1,316,517","8,803,580","2,064,950","19,400,867","9,559,488","674,345","11,540,070","3,759,481","3,837,083","12,711,077","1,053,078","4,636,290","816,192","6,356,628","25,245,717","2,774,346","625,792","8,025,376","6,741,911","1,854,176","5,689,268","564,358","605,210
"
2011,"4,801,695","722,572","6,472,867","2,938,430","37,701,901","5,119,661","3,590,537","907,829","19,107,900","9,813,201","1,378,251","1,583,780","12,858,725","6,516,560","3,064,904","2,869,965","4,370,038","4,575,972","1,327,930","5,843,833","6,612,270","9,875,736","5,348,036","2,978,464","6,010,544","997,661","1,842,232","2,718,586","1,318,109","8,842,614","2,078,407","19,521,745","9,651,502","685,242","11,544,757","3,786,527","3,867,644","12,743,995","1,052,020","4,673,054","824,171","6,398,389","25,657,477","2,815,324","626,450","8,110,188","6,822,112","1,854,982","5,708,785","567,631","620,427
"
2012,"4,817,484","731,081","6,556,236","2,949,300","38,062,780","5,191,709","3,594,362","916,881","19,355,257","9,919,000","1,392,766","1,595,590","12,873,763","6,537,632","3,075,935","2,885,966","4,383,465","4,604,744","1,328,592","5,891,819","6,655,829","9,884,781","5,380,615","2,986,137","6,025,281","1,005,163","1,855,487","2,755,245","1,321,297","8,876,000","2,084,594","19,607,140","9,748,181","701,705","11,550,901","3,817,059","3,898,684","12,770,043","1,052,637","4,722,621","834,504","6,455,177","26,094,422","2,855,194","626,138","8,193,422","6,896,325","1,856,313","5,724,888","576,893","635,040
"
2013,"4,833,996","737,259","6,634,997","2,958,765","38,431,393","5,272,086","3,599,341","925,240","19,600,311","9,994,759","1,408,987","1,612,843","12,890,552","6,570,713","3,092,341","2,895,801","4,399,583","4,629,284","1,328,702","5,938,737","6,708,874","9,898,193","5,422,060","2,992,206","6,044,917","1,014,864","1,868,969","2,791,494","1,322,616","8,911,502","2,086,895","19,695,680","9,848,917","723,857","11,572,005","3,853,118","3,928,068","12,781,296","1,053,354","4,771,929","845,510","6,497,269","26,505,637","2,902,787","626,855","8,270,345","6,973,742","1,853,595","5,742,953","583,223","649,111
"
2014,"4,849,377","736,732","6,731,484","2,966,369","38,802,500","5,355,866","3,596,677","935,614","19,893,297","10,097,343","1,419,561","1,634,464","12,880,580","6,596,855","3,107,126","2,904,021","4,413,457","4,649,676","1,330,089","5,976,407","6,745,408","9,909,877","5,457,173","2,994,079","6,063,589","1,023,579","1,881,503","2,839,099","1,326,813","8,938,175","2,085,572","19,746,227","9,943,964","739,482","11,594,163","3,878,051","3,970,239","12,787,209","1,055,173","4,832,482","853,175","6,549,352","26,956,958","2,942,902","626,562","8,326,289","7,061,530","1,850,326","5,757,564","584,153","658,893
"
2015,"4,858,979","738,432","6,828,065","2,978,204","39,144,818","5,456,574","3,590,886","945,934","20,271,272","10,214,860","1,431,603","1,654,930","12,859,995","6,619,680","3,123,899","2,911,641","4,425,092","4,670,724","1,329,328","6,006,401","6,794,422","9,922,576","5,489,594","2,992,333","6,083,672","1,032,949","1,896,190","2,890,845","1,330,608","8,958,013","2,085,109","19,795,791","10,042,802","756,927","11,613,423","3,911,338","4,028,977","12,802,503","1,056,298","4,896,146","858,469","6,600,299","27,469,114","2,995,919","626,042","8,382,993","7,170,351","1,844,128","5,771,337","586,107","672,228
"
